STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,year
63740099999,2015-04-03,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",68.7,24,60.5,24,9999.9,0,999.9,0,7.4,23,7.3,24,15.9,999.9,79.7, ,59.7, ,0.12,G,999.9,10000,2015
63740099999,2015-04-04,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",68.0,24,61.2,24,9999.9,0,999.9,0,8.0,24,7.4,24,12.0,999.9,82.0, ,60.4, ,0.63,G,999.9,10010,2015
63740099999,2015-04-05,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.0,24,60.4,24,9999.9,0,999.9,0,9.2,24,6.0,24,15.0,999.9,82.4, ,59.0, ,1.06,G,999.9,11010,2015
63740099999,2015-04-06,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.1,24,61.5,24,9999.9,0,999.9,0,6.7,24,5.1,24,12.0,999.9,80.6, ,60.8, ,0.24,G,999.9,10010,2015
63740099999,2015-04-07,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.0,24,60.5,24,9999.9,0,999.9,0,8.0,24,6.0,24,15.0,999.9,84.2, ,61.7, ,0.12,G,999.9,0,2015
63740099999,2015-04-08,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.7,24,59.7,24,9999.9,0,999.9,0,6.7,24,5.8,24,20.0,999.9,86.4, ,62.6,*,0.0,G,999.9,10000,2015
63740099999,2015-04-09,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",68.8,24,59.0,24,9999.9,0,999.9,0,8.8,24,7.3,24,12.0,999.9,77.0,*,62.6,*,0.0,A,999.9,0,2015
63740099999,2015-04-10,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.9,24,59.5,24,9999.9,0,999.9,0,9.6,24,6.8,24,13.0,999.9,81.0, ,61.2, ,0.0,I,999.9,0,2015
63740099999,2015-04-11,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.5,24,58.2,24,9999.9,0,999.9,0,7.8,24,7.7,24,18.1,999.9,80.6,*,62.6, ,0.0,I,999.9,0,2015
63740099999,2015-04-12,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.7,24,55.1,24,9999.9,0,999.9,0,9.2,23,8.4,24,17.1,25.1,82.4,*,60.8, ,0.0,I,999.9,0,2015
63740099999,2015-04-13,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.2,23,58.4,23,9999.9,0,999.9,0,6.4,23,7.8,23,14.0,999.9,85.1, ,60.8, ,0.0,I,999.9,0,2015
63740099999,2015-04-14,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.0,23,59.0,23,9999.9,0,999.9,0,9.7,23,8.4,23,14.0,17.1,83.8, ,63.5, ,0.0,I,999.9,0,2015
63740099999,2015-04-15,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.6,23,59.4,23,9999.9,0,999.9,0,8.4,23,8.8,23,18.1,999.9,82.4,*,61.7, ,0.0,I,999.9,100000,2015
63740099999,2015-04-16,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.4,24,58.9,24,9999.9,0,999.9,0,8.0,24,7.4,24,15.9,999.9,82.0, ,60.8, ,0.04,G,999.9,10010,2015
63740099999,2015-04-17,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",65.3,24,60.6,24,9999.9,0,999.9,0,8.5,24,5.5,24,11.1,999.9,72.7, ,60.1, ,0.28,G,999.9,10000,2015
63740099999,2015-04-18,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",68.0,24,60.4,24,9999.9,0,999.9,0,6.7,24,5.4,24,12.0,999.9,77.0,*,61.2, ,0.2,G,999.9,10000,2015
63740099999,2015-04-19,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.0,24,59.1,24,9999.9,0,999.9,0,7.8,24,5.8,24,15.0,999.9,82.4, ,59.7, ,0.0,G,999.9,10010,2015
